merchant_id,category,city,years_active,credit_tier,monthly_revenue,revenue_growth_rate,revenue_consistency,refund_rate,chargeback_rate,settlement_velocity_days,customer_repeat_rate,payment_diversity_score,peak_season_ratio,failed_payment_rate,avg_transaction_value,transaction_volume_monthly,dispute_resolution_rate,late_settlement_frequency,revenue_concentration_risk,credit_score,score_trajectory,projected_score_3months,recommendation_eligible,recommendation_max_amount,recommendation_interest_rate,recommendation_tenure_months,recommendation_tier
MID_0264,Freelancer,Hyderabad,5.7,average,59246.53,0.0281,0.7037,0.1252,0.0221,2.7518,0.2481,0.5617,1.002,0.101,665.2527,184.2198,0.5742,0.1528,0.4763,702,"[616, 613, 607, 602, 594, 702]",727,True,1000000,15.0,18.0,Standard
MID_0265,Electronics,Hyderabad,0.7,poor,58704.97,-0.0973,0.5058,0.1693,0.0436,3.3329,0.1923,0.2671,0.96,0.2933,562.6361,113.822,0.5747,0.3796,0.694,601,"[594, 611, 604, 604, 604, 601]",626,True,400000,18.5,12.0,Basic
MID_0266,Auto Parts,Mumbai,6.2,average,130159.73,0.0094,0.5797,0.0798,0.0194,2.5601,0.2015,0.4918,1.1752,0.1489,1145.4881,244.013,0.6845,0.1738,0.3835,711,"[646, 652, 644, 657, 663, 711]",752,True,1000000,15.0,18.0,Standard
MID_0267,Gym,Chennai,4.9,average,125250.98,0.045,0.5914,0.1316,0.0168,2.4688,0.2172,0.4735,1.1131,0.1157,1295.1611,106.1776,0.5644,0.1902,0.409,689,"[672, 670, 674, 676, 676, 689]",716,True,400000,18.5,12.0,Basic
MID_0268,Salon,Mumbai,1.8,good,300979.73,0.0667,0.7332,0.0721,0.0101,2.2873,0.4572,0.7353,1.1492,0.055,595.7035,240.2146,0.7354,0.0663,0.2605,775,"[752, 777, 802, 817, 831, 775]",785,True,1000000,15.0,18.0,Standard
MID_0269,Healthcare,Chennai,2.6,good,396993.85,0.143,0.8515,0.0679,0.0051,2.3082,0.4979,0.7403,1.5327,0.0659,2308.3397,246.9125,0.7421,0.087,0.3105,800,"[748, 767, 769, 792, 793, 800]",845,True,2000000,12.5,24.0,Premium
MID_0270,Restaurant,Pune,1.5,poor,25713.94,-0.0041,0.465,0.2057,0.0306,3.6765,0.1311,0.3656,1.0907,0.2767,309.746,76.6303,0.4805,0.2058,0.5306,647,"[610, 631, 639, 640, 640, 647]",661,True,400000,18.5,12.0,Basic
MID_0271,EdTech,Kolkata,1.9,excellent,484394.33,0.1403,0.9663,0.0128,0.0017,1.5529,0.458,0.8723,1.642,0.0275,1091.8623,1933.3902,0.8869,0.0193,0.1989,816,"[757, 776, 778, 769, 758, 816]",856,True,2000000,12.5,24.0,Premium
MID_0272,Travel,Delhi,3.4,bad,6862.25,-0.0498,0.2274,0.4045,0.0799,4.9527,0.066,0.1328,0.7609,0.4377,210.6348,14.0766,0.3779,0.4837,0.8561,495,"[463, 468, 471, 458, 446, 495]",534,False,0,,,Ineligible
MID_0273,Pharmacy,Chennai,3.4,poor,53583.58,-0.046,0.3913,0.2003,0.033,4.154,0.1591,0.3537,0.9239,0.2778,130.5651,107.9819,0.3863,0.3589,0.6183,594,"[551, 573, 574, 590, 580, 594]",610,True,100000,24.0,6.0,Micro
MID_0274,EdTech,Pune,3.6,good,145454.15,0.0258,0.7243,0.0619,0.0118,1.9238,0.3687,0.6299,1.1972,0.0526,1126.5143,596.3697,0.7246,0.0936,0.2928,741,"[695, 698, 701, 698, 689, 741]",757,True,1000000,15.0,18.0,Standard
MID_0275,Electronics,Chennai,1.4,poor,15694.45,-0.0127,0.3526,0.1555,0.0332,3.5338,0.1657,0.3964,1.0331,0.2419,133.4292,81.653,0.4703,0.3193,0.6452,628,"[590, 577, 577, 570, 565, 628]",650,True,400000,18.5,12.0,Basic
MID_0276,Retail,Mumbai,3.7,bad,9818.76,-0.2058,0.3172,0.2551,0.0929,8.7815,0.0864,0.1085,0.7501,0.3714,87.6893,19.7214,0.2793,0.4069,0.7018,498,"[464, 464, 456, 457, 454, 498]",537,False,0,,,Ineligible
MID_0277,Clothing,Delhi,5.4,good,274664.96,0.0257,0.8617,0.0506,0.0127,1.9992,0.4981,0.6925,1.4956,0.1146,1923.0127,276.3581,0.7171,0.0659,0.3262,784,"[708, 700, 716, 728, 752, 784]",798,True,1000000,15.0,18.0,Standard
MID_0278,Pharmacy,Mumbai,5.1,average,71655.32,0.0441,0.5965,0.107,0.0248,2.4652,0.2848,0.5773,1.0927,0.1738,1184.4195,201.1392,0.5602,0.1449,0.4093,691,"[691, 700, 722, 737, 735, 691]",703,True,400000,18.5,12.0,Basic
MID_0279,EdTech,Kolkata,5.4,good,92764.85,0.1301,0.773,0.0421,0.0104,2.8133,0.433,0.5997,1.4437,0.1004,2020.158,367.0401,0.7579,0.0754,0.2012,757,"[736, 726, 720, 708, 717, 757]",780,True,1000000,15.0,18.0,Standard
MID_0280,Clothing,Jaipur,1.1,poor,24216.56,-0.0062,0.4063,0.1429,0.0275,3.8561,0.1338,0.3398,0.968,0.2894,156.0112,117.1183,0.4416,0.2302,0.5971,634,"[586, 603, 589, 589, 608, 634]",663,True,400000,18.5,12.0,Basic
MID_0281,SaaS,Jaipur,1.6,poor,22885.24,-0.0397,0.4543,0.1688,0.0382,3.2158,0.0964,0.3032,0.9387,0.2065,108.984,67.5735,0.5168,0.2885,0.7037,634,"[596, 607, 615, 617, 603, 634]",668,True,400000,18.5,12.0,Basic
MID_0282,Auto Parts,Surat,1.7,poor,53408.69,0.0003,0.5229,0.1653,0.0413,4.9049,0.1242,0.2127,0.9963,0.2394,272.7543,65.1612,0.5619,0.2651,0.6554,625,"[605, 628, 619, 614, 622, 625]",645,True,400000,18.5,12.0,Basic
MID_0283,Restaurant,Delhi,6.3,average,148458.88,0.0198,0.6672,0.1321,0.0178,2.3776,0.2519,0.5625,1.0759,0.1302,1457.9885,211.2064,0.6151,0.137,0.4323,717,"[702, 718, 717, 708, 723, 717]",752,True,1000000,15.0,18.0,Standard
MID_0284,Travel,Chennai,0.5,good,225994.3,0.0326,0.8438,0.0509,0.0092,1.5767,0.3862,0.5853,1.1932,0.0594,1716.1781,451.8296,0.7198,0.0854,0.2425,776,"[700, 724, 744, 747, 768, 776]",796,True,1000000,15.0,18.0,Standard
MID_0285,Retail,Chennai,1.1,excellent,205948.04,0.0559,0.8805,0.0246,0.0063,1.0095,0.5165,0.9388,1.7657,0.0516,975.8092,579.923,0.9529,0.025,0.178,815,"[781, 790, 789, 801, 800, 815]",840,True,2000000,12.5,24.0,Premium
MID_0286,Pharmacy,Kolkata,3.3,excellent,391114.74,0.1161,0.863,0.0237,0.0059,1.7252,0.672,0.7347,1.7213,0.0548,1973.7636,1458.6763,0.956,0.0247,0.1928,822,"[770, 794, 817, 835, 821, 822]",834,True,2000000,12.5,24.0,Premium
MID_0287,Healthcare,Pune,5.6,good,245764.73,0.1161,0.847,0.0474,0.0144,2.883,0.3952,0.6817,1.4497,0.057,1462.1464,525.0217,0.8281,0.1096,0.3752,779,"[762, 750, 769, 794, 818, 779]",817,True,1000000,15.0,18.0,Standard
MID_0288,Retail,Ahmedabad,5.5,good,139115.8,0.1179,0.8256,0.0345,0.0093,2.4315,0.332,0.7358,1.5513,0.1036,1050.9401,280.34,0.7857,0.1118,0.2246,777,"[702, 715, 735, 757, 773, 777]",808,True,1000000,15.0,18.0,Standard
MID_0289,Salon,Kolkata,5.4,poor,56481.7,-0.0432,0.4037,0.1537,0.0287,3.3341,0.1208,0.3303,0.947,0.3119,500.9873,28.3788,0.4221,0.2684,0.6621,619,"[588, 590, 606, 623, 645, 619]",643,True,400000,18.5,12.0,Basic
MID_0290,Retail,Kolkata,0.6,poor,25787.03,0.0061,0.4183,0.1485,0.0404,3.4423,0.114,0.3644,1.1123,0.2959,124.0407,48.6146,0.4655,0.3239,0.5602,621,"[557, 553, 577, 564, 582, 621]",644,True,400000,18.5,12.0,Basic
MID_0291,Food Delivery,Hyderabad,5.8,excellent,687796.21,0.0858,0.9134,0.0218,0.0079,1.6593,0.6621,0.9478,1.6836,0.0335,3647.1745,1982.5657,0.9485,0.0256,0.1792,839,"[827, 827, 818, 833, 841, 839]",868,True,2000000,12.5,24.0,Premium
MID_0292,Gym,Bangalore,4.8,average,81653.75,0.0697,0.592,0.1243,0.0129,3.3025,0.2416,0.5684,1.0306,0.1785,1315.96,137.9045,0.7171,0.1815,0.3836,706,"[680, 670, 676, 674, 677, 706]",741,True,1000000,15.0,18.0,Standard
MID_0293,Clothing,Mumbai,1.4,good,166165.6,0.0975,0.7476,0.0673,0.0128,2.9823,0.4341,0.5679,1.3318,0.1073,1455.2523,542.6335,0.7801,0.0409,0.2233,765,"[684, 693, 717, 722, 734, 765]",786,True,1000000,15.0,18.0,Standard
MID_0294,Salon,Ahmedabad,8.0,poor,24714.45,-0.0837,0.4248,0.2128,0.0459,4.6125,0.1286,0.3542,0.9984,0.2944,648.4322,70.6592,0.3647,0.3507,0.6186,594,"[522, 533, 523, 543, 555, 594]",632,True,100000,24.0,6.0,Micro
MID_0295,Healthcare,Pune,1.4,excellent,296902.19,0.0822,0.9231,0.0355,0.0012,1.9799,0.5765,0.7909,1.6811,0.0369,4769.9596,200.154,0.8891,0.0478,0.1779,824,"[785, 798, 804, 829, 828, 824]",847,True,2000000,12.5,24.0,Premium
MID_0296,Travel,Delhi,5.5,excellent,186249.89,0.0783,0.9613,0.0165,0.0019,1.5521,0.5979,0.7693,1.8104,0.0369,3109.3642,669.214,0.9345,0.0165,0.1684,835,"[749, 742, 753, 748, 759, 835]",868,True,2000000,12.5,24.0,Premium
MID_0297,SaaS,Jaipur,5.0,average,46294.46,0.0792,0.6367,0.0621,0.0191,2.155,0.2012,0.4042,1.1645,0.1066,1032.2307,134.3331,0.6067,0.1328,0.5238,690,"[671, 671, 660, 682, 675, 690]",719,True,400000,18.5,12.0,Basic
MID_0298,SaaS,Ahmedabad,1.2,good,252948.38,0.0567,0.7634,0.035,0.0055,1.636,0.4504,0.5861,1.503,0.0974,2471.8685,486.1702,0.8588,0.0722,0.3185,780,"[729, 719, 727, 723, 744, 780]",813,True,1000000,15.0,18.0,Standard
MID_0299,Travel,Hyderabad,5.6,average,86764.58,0.0239,0.6208,0.0975,0.0143,3.9052,0.2685,0.5381,1.2771,0.1229,1026.3258,62.605,0.602,0.1925,0.519,687,"[641, 649, 638, 634, 656, 687]",697,True,400000,18.5,12.0,Basic
MID_0300,Salon,Jaipur,7.5,excellent,511396.21,0.187,0.938,0.026,0.0019,1.0139,0.4975,0.9078,1.3051,0.037,3044.1643,821.1091,0.9792,0.0364,0.2381,852,"[778, 781, 772, 795, 810, 852]",873,True,2000000,12.5,24.0,Premium
MID_0301,Retail,Pune,6.8,average,137774.91,0.0223,0.6258,0.0899,0.0117,3.8281,0.2225,0.4986,1.2299,0.1118,588.9314,116.3217,0.5862,0.1886,0.4638,694,"[629, 647, 633, 637, 646, 694]",726,True,400000,18.5,12.0,Basic
MID_0302,Restaurant,Surat,4.0,good,111994.02,0.0655,0.8356,0.0501,0.0051,1.8616,0.3395,0.6558,1.5493,0.0788,2782.7728,104.8373,0.8385,0.06,0.2941,773,"[706, 702, 726, 738, 740, 773]",810,True,1000000,15.0,18.0,Standard
MID_0303,Restaurant,Pune,7.1,poor,14307.2,-0.063,0.3807,0.1747,0.0299,3.0948,0.1599,0.4086,1.1399,0.3176,183.1546,66.3521,0.464,0.3227,0.528,630,"[600, 615, 633, 623, 646, 630]",648,True,400000,18.5,12.0,Basic
MID_0304,Electronics,Pune,4.3,poor,21903.47,-0.0118,0.4287,0.2469,0.0421,4.303,0.1147,0.3069,1.0902,0.2147,206.747,68.6802,0.4074,0.338,0.6901,593,"[517, 530, 547, 560, 565, 593]",612,True,100000,24.0,6.0,Micro
MID_0305,Clothing,Delhi,1.5,excellent,764453.13,0.2358,0.9054,0.0285,0.0016,1.051,0.5518,0.7766,1.7433,0.0293,2211.947,1062.5514,0.9163,0.0358,0.1456,831,"[792, 789, 776, 763, 750, 831]",854,True,2000000,12.5,24.0,Premium
MID_0306,Grocery,Ahmedabad,2.6,average,78779.76,0.0052,0.6483,0.0867,0.0117,3.3379,0.2961,0.5495,1.0391,0.1361,1253.0458,233.1623,0.6501,0.1726,0.3977,716,"[680, 690, 699, 686, 710, 716]",738,True,1000000,15.0,18.0,Standard
MID_0307,Clothing,Ahmedabad,7.4,excellent,501111.45,0.1186,0.9443,0.0397,0.0024,1.7208,0.461,0.7479,1.6853,0.0301,4483.7164,1736.1889,0.9679,0.049,0.2342,825,"[738, 740, 762, 767, 753, 825]",843,True,2000000,12.5,24.0,Premium
MID_0308,Grocery,Mumbai,7.7,excellent,793634.84,0.088,0.9559,0.0249,0.0047,1.5135,0.4687,0.8094,1.6565,0.0425,2439.037,1292.9931,0.8769,0.0101,0.1858,803,"[733, 738, 752, 747, 766, 803]",830,True,2000000,12.5,24.0,Premium
MID_0309,EdTech,Delhi,1.8,excellent,284513.92,0.0578,0.8693,0.0365,0.0075,1.2704,0.6477,0.8606,1.4743,0.0529,3045.2987,202.5199,0.8952,0.0342,0.1554,826,"[787, 788, 798, 796, 783, 826]",858,True,2000000,12.5,24.0,Premium
MID_0310,Clothing,Chennai,1.8,bad,15066.98,-0.0249,0.3445,0.3951,0.0464,8.4746,0.0506,0.1912,0.961,0.4195,242.8072,41.7581,0.2007,0.4306,0.7954,529,"[494, 508, 508, 529, 518, 529]",550,True,100000,24.0,6.0,Micro
MID_0311,Food Delivery,Bangalore,1.9,average,123329.72,0.0448,0.5542,0.073,0.0127,2.7884,0.2833,0.3953,1.0216,0.1245,1381.8704,292.3002,0.567,0.1632,0.4954,701,"[644, 662, 678, 689, 675, 701]",716,True,1000000,15.0,18.0,Standard
MID_0312,Grocery,Bangalore,7.5,average,120433.91,-0.0191,0.7083,0.1034,0.0223,3.7054,0.1944,0.4106,1.2279,0.1892,1260.1044,119.9201,0.6314,0.1293,0.4587,690,"[656, 662, 651, 672, 673, 690]",714,True,400000,18.5,12.0,Basic
MID_0313,Restaurant,Hyderabad,3.7,excellent,614681.67,0.0952,0.9643,0.0215,0.0072,1.8228,0.4781,0.7424,1.3771,0.0241,4814.5661,843.1542,0.93,0.0147,0.2385,827,"[763, 769, 778, 790, 781, 827]",856,True,2000000,12.5,24.0,Premium
MID_0314,SaaS,Chennai,3.1,excellent,693937.88,0.1823,0.9713,0.0343,0.006,1.0764,0.4505,0.9333,1.4041,0.0462,2145.0752,903.0792,0.9438,0.0414,0.1718,837,"[756, 744, 769, 761, 762, 837]",874,True,2000000,12.5,24.0,Premium
MID_0315,Gym,Kolkata,5.0,average,43509.98,0.0744,0.7343,0.0907,0.0182,3.0775,0.2637,0.498,1.069,0.1084,1129.3974,177.0059,0.682,0.1974,0.3939,717,"[704, 703, 707, 698, 687, 717]",750,True,1000000,15.0,18.0,Standard
MID_0316,Food Delivery,Bangalore,2.7,excellent,656597.89,0.2444,0.9687,0.0173,0.0068,1.0559,0.4845,0.9405,1.7928,0.0351,910.6569,1936.8437,0.8983,0.0381,0.1994,851,"[765, 765, 753, 741, 749, 851]",870,True,2000000,12.5,24.0,Premium
MID_0317,Healthcare,Bangalore,4.0,excellent,528188.56,0.2398,0.9111,0.0317,0.0041,1.6448,0.4533,0.7278,1.342,0.0457,3337.5291,512.4444,0.8708,0.0259,0.1635,820,"[753, 761, 758, 752, 774, 820]",835,True,2000000,12.5,24.0,Premium
MID_0318,EdTech,Kolkata,7.8,excellent,273659.02,0.1738,0.8785,0.0155,0.0062,1.5593,0.6604,0.9041,1.6279,0.0325,3495.9415,1689.0566,0.8714,0.0421,0.197,821,"[805, 824, 810, 807, 813, 821]",831,True,2000000,12.5,24.0,Premium
MID_0319,Healthcare,Chennai,1.9,good,370742.06,0.0512,0.7336,0.0585,0.0054,2.973,0.3968,0.5596,1.1466,0.0716,2951.3541,626.1756,0.8726,0.08,0.2629,759,"[743, 741, 762, 767, 773, 759]",770,True,1000000,15.0,18.0,Standard
MID_0320,SaaS,Kolkata,4.1,poor,9982.29,-0.079,0.5069,0.1302,0.0388,5.8585,0.1078,0.2474,1.0704,0.1997,602.9882,119.3087,0.4654,0.3786,0.6339,613,"[556, 553, 563, 586, 572, 613]",647,True,400000,18.5,12.0,Basic
MID_0321,Clothing,Hyderabad,8.0,average,146736.48,0.0367,0.7489,0.0678,0.0102,3.5326,0.2326,0.5709,1.2392,0.1895,848.5859,158.25,0.5789,0.1355,0.3636,715,"[704, 708, 732, 756, 772, 715]",733,True,1000000,15.0,18.0,Standard
MID_0322,Retail,Surat,4.2,good,159550.12,0.0732,0.8191,0.064,0.0094,2.025,0.4249,0.6127,1.1417,0.0789,1625.2307,714.186,0.8784,0.0434,0.3955,783,"[728, 720, 709, 709, 717, 783]",807,True,1000000,15.0,18.0,Standard
MID_0323,Salon,Ahmedabad,5.5,good,215728.76,0.0896,0.8509,0.0355,0.0068,1.2167,0.4919,0.6294,1.3166,0.0781,661.1788,339.6965,0.8088,0.057,0.3483,787,"[757, 748, 742, 749, 774, 787]",800,True,1000000,15.0,18.0,Standard
MID_0324,Auto Parts,Pune,6.4,bad,6559.46,-0.2014,0.1557,0.3897,0.0654,5.5124,0.0341,0.1041,0.7822,0.298,355.8216,25.3139,0.2465,0.4142,0.8733,479,"[407, 431, 428, 421, 443, 479]",523,False,0,,,Ineligible
MID_0325,Travel,Bangalore,7.7,average,148362.39,0.037,0.7146,0.1049,0.0234,2.3971,0.3029,0.5073,1.0434,0.1664,1270.555,230.9327,0.6903,0.188,0.3528,729,"[677, 693, 705, 701, 715, 729]",747,True,1000000,15.0,18.0,Standard
MID_0326,Freelancer,Ahmedabad,5.3,average,36133.27,0.0546,0.5875,0.1157,0.0216,3.2019,0.2167,0.4261,1.0573,0.168,1441.6358,136.2667,0.6118,0.1362,0.4114,679,"[654, 656, 655, 673, 675, 679]",710,True,400000,18.5,12.0,Basic
MID_0327,Retail,Bangalore,3.9,good,274657.18,0.0411,0.7897,0.0443,0.0116,2.3606,0.4268,0.6904,1.569,0.1134,748.0627,161.3341,0.8507,0.0472,0.2033,762,"[707, 714, 724, 729, 746, 762]",798,True,1000000,15.0,18.0,Standard
MID_0328,Clothing,Hyderabad,6.3,average,42392.21,0.0656,0.7401,0.088,0.0219,2.9279,0.3344,0.5219,1.2354,0.1396,1421.5019,243.371,0.6363,0.1321,0.4817,732,"[669, 655, 676, 662, 648, 732]",775,True,1000000,15.0,18.0,Standard
MID_0329,Food Delivery,Surat,2.9,good,251774.88,0.0759,0.8089,0.0496,0.0112,1.7866,0.3103,0.7364,1.3146,0.1158,1476.0292,609.6789,0.7726,0.0654,0.2317,776,"[738, 746, 747, 762, 784, 776]",796,True,1000000,15.0,18.0,Standard
MID_0330,Pharmacy,Hyderabad,1.2,excellent,149784.28,0.204,0.8699,0.0285,0.0048,1.9724,0.5929,0.7063,1.8139,0.0593,3464.7452,1599.6615,0.8743,0.0361,0.1333,831,"[785, 785, 780, 767, 756, 831]",842,True,2000000,12.5,24.0,Premium
MID_0331,Freelancer,Surat,7.0,excellent,743033.88,0.0745,0.8684,0.0179,0.0023,1.0774,0.6612,0.9282,1.4456,0.024,4140.8541,944.7412,0.9132,0.035,0.1315,846,"[791, 782, 779, 801, 812, 846]",858,True,2000000,12.5,24.0,Premium
MID_0332,Retail,Pune,8.0,average,107458.62,0.0346,0.5817,0.1193,0.0239,2.3857,0.185,0.3851,1.1535,0.1152,1326.9365,69.845,0.5869,0.1393,0.394,702,"[670, 693, 692, 699, 696, 702]",743,True,1000000,15.0,18.0,Standard
MID_0333,Salon,Jaipur,7.6,bad,7527.33,-0.2045,0.3615,0.3793,0.0977,4.6174,0.0835,0.1799,0.7497,0.3253,302.7211,24.5062,0.2526,0.5289,0.7179,483,"[433, 432, 453, 471, 474, 483]",525,False,0,,,Ineligible
MID_0334,Grocery,Surat,3.6,average,139962.56,0.075,0.6561,0.0919,0.0117,3.6181,0.253,0.4209,1.0736,0.1215,683.1584,77.7103,0.6035,0.1012,0.4877,700,"[644, 638, 626, 622, 616, 700]",745,True,1000000,15.0,18.0,Standard
MID_0335,Grocery,Surat,7.6,poor,41100.32,-0.0254,0.4986,0.2087,0.0331,5.4402,0.1038,0.2109,1.0235,0.1866,292.0908,27.5222,0.4541,0.3083,0.6301,597,"[592, 600, 585, 589, 579, 597]",609,True,100000,24.0,6.0,Micro
MID_0336,Auto Parts,Jaipur,7.4,excellent,611641.54,0.0639,0.8624,0.0341,0.0061,1.2747,0.6384,0.8001,1.6895,0.0325,3371.7467,907.9895,0.9405,0.0282,0.2273,808,"[775, 761, 748, 734, 723, 808]",845,True,2000000,12.5,24.0,Premium
MID_0337,Clothing,Bangalore,1.2,poor,53653.75,0.0061,0.4736,0.1206,0.0406,3.1575,0.186,0.2095,0.912,0.2226,284.609,87.2318,0.5321,0.2683,0.6537,633,"[604, 594, 603, 622, 643, 633]",650,True,400000,18.5,12.0,Basic
MID_0338,EdTech,Jaipur,2.3,average,84726.74,0.0081,0.7045,0.0986,0.0114,3.5324,0.3009,0.4577,1.2507,0.1242,1041.2746,262.5245,0.6681,0.109,0.4489,721,"[673, 678, 676, 694, 709, 721]",751,True,1000000,15.0,18.0,Standard
MID_0339,Healthcare,Chennai,5.8,average,130913.83,-0.0094,0.576,0.1333,0.0158,2.9049,0.2855,0.4247,1.1201,0.1069,750.0222,218.4292,0.7118,0.1693,0.3704,690,"[649, 652, 648, 652, 658, 690]",707,True,400000,18.5,12.0,Basic
MID_0340,Auto Parts,Jaipur,1.1,average,49467.88,0.0302,0.6516,0.0643,0.0141,2.1956,0.2903,0.541,1.1268,0.1294,723.4997,194.4528,0.64,0.1592,0.4367,724,"[640, 627, 614, 609, 597, 724]",748,True,1000000,15.0,18.0,Standard
MID_0341,Auto Parts,Surat,5.7,average,81498.09,0.002,0.7148,0.1153,0.0174,2.3421,0.2146,0.5201,1.2118,0.1288,204.0389,88.1205,0.7043,0.1747,0.4978,717,"[699, 691, 689, 692, 716, 717]",754,True,1000000,15.0,18.0,Standard
MID_0342,Pharmacy,Mumbai,1.8,good,98716.03,0.1083,0.8565,0.0597,0.0147,2.1663,0.3977,0.5995,1.1547,0.1073,1918.1668,793.2892,0.8504,0.082,0.2335,762,"[738, 741, 756, 780, 776, 762]",795,True,1000000,15.0,18.0,Standard
MID_0343,Gym,Mumbai,6.7,good,189115.23,0.0873,0.8262,0.0733,0.0134,1.9687,0.354,0.6539,1.4199,0.0604,1525.7974,254.1789,0.8789,0.0686,0.2062,783,"[730, 719, 741, 741, 730, 783]",827,True,1000000,15.0,18.0,Standard
MID_0344,Auto Parts,Ahmedabad,7.9,poor,16678.96,0.0183,0.4302,0.1631,0.0377,5.8358,0.1131,0.2419,1.0449,0.2783,683.9201,27.9109,0.5329,0.302,0.6744,596,"[598, 588, 601, 607, 603, 596]",616,True,100000,24.0,6.0,Micro
MID_0345,Grocery,Ahmedabad,2.7,poor,8324.5,-0.0947,0.4151,0.1971,0.0216,3.9175,0.1316,0.3453,0.9002,0.2152,345.1528,44.7429,0.5476,0.3198,0.6692,612,"[601, 593, 602, 590, 584, 612]",644,True,400000,18.5,12.0,Basic
MID_0346,Clothing,Kolkata,3.7,bad,4344.59,-0.1899,0.2255,0.2777,0.0738,8.0735,0.0458,0.1783,0.905,0.3239,97.4918,29.9428,0.2192,0.3757,0.7917,495,"[472, 475, 465, 468, 466, 495]",527,False,0,,,Ineligible
MID_0347,Gym,Pune,3.7,average,77870.28,-0.0172,0.6618,0.1366,0.0163,3.5117,0.2846,0.4465,1.0728,0.1512,365.4573,181.2501,0.6461,0.1352,0.5011,694,"[691, 711, 714, 702, 689, 694]",710,True,400000,18.5,12.0,Basic
MID_0348,Pharmacy,Surat,1.2,good,226987.37,0.0631,0.7297,0.067,0.0117,2.4787,0.3106,0.591,1.1721,0.1018,1738.2616,256.4805,0.8216,0.1082,0.2602,766,"[750, 763, 752, 737, 746, 766]",782,True,1000000,15.0,18.0,Standard
MID_0349,Clothing,Hyderabad,1.3,excellent,451324.78,0.1281,0.9704,0.019,0.0044,1.184,0.5087,0.9119,1.4822,0.0445,2644.3454,1384.6868,0.866,0.0158,0.1032,841,"[812, 825, 818, 822, 819, 841]",882,True,2000000,12.5,24.0,Premium
MID_0350,Pharmacy,Chennai,3.4,average,44410.72,0.0217,0.635,0.0622,0.0169,3.1284,0.1819,0.4466,1.1935,0.1893,1005.8394,51.0843,0.7042,0.2155,0.4436,691,"[611, 631, 636, 635, 648, 691]",705,True,400000,18.5,12.0,Basic
MID_0351,Electronics,Bangalore,3.1,poor,25747.49,-0.007,0.5309,0.1562,0.0429,3.9088,0.1273,0.4016,1.0613,0.2327,430.2266,84.192,0.4825,0.3669,0.6706,614,"[598, 597, 606, 608, 594, 614]",634,True,400000,18.5,12.0,Basic
MID_0352,Clothing,Delhi,5.5,average,115978.26,0.0124,0.5963,0.1217,0.0238,3.5912,0.1979,0.5738,1.2184,0.1384,1465.3156,279.8177,0.5605,0.1301,0.3575,689,"[657, 643, 635, 624, 627, 689]",734,True,400000,18.5,12.0,Basic
MID_0353,Clothing,Hyderabad,2.4,average,59924.99,0.0001,0.5824,0.1251,0.0221,2.3846,0.279,0.5184,1.2006,0.1204,1253.0115,272.2557,0.6111,0.149,0.4593,688,"[646, 656, 661, 679, 687, 688]",720,True,400000,18.5,12.0,Basic
MID_0354,Pharmacy,Surat,7.2,poor,48811.96,-0.0429,0.4939,0.2336,0.0371,3.3816,0.1421,0.2222,1.0247,0.1872,478.3766,17.367,0.5389,0.2522,0.6822,618,"[537, 533, 540, 535, 540, 618]",647,True,400000,18.5,12.0,Basic
MID_0355,Salon,Surat,0.9,average,41473.08,0.0271,0.7335,0.081,0.0104,2.6761,0.2243,0.4536,1.2294,0.1139,911.2136,230.8069,0.7071,0.1796,0.5257,706,"[650, 663, 679, 665, 690, 706]",721,True,1000000,15.0,18.0,Standard
MID_0356,Auto Parts,Jaipur,4.1,excellent,638381.81,0.0708,0.9146,0.0168,0.0035,1.4776,0.6454,0.9191,1.4594,0.0572,910.686,1607.2806,0.8755,0.0343,0.1569,815,"[767, 767, 757, 770, 777, 815]",832,True,2000000,12.5,24.0,Premium
MID_0357,Auto Parts,Surat,7.9,good,133487.58,0.0767,0.7293,0.0416,0.0109,1.4543,0.4495,0.7277,1.4966,0.0898,2977.3468,110.429,0.8296,0.105,0.2153,768,"[744, 756, 750, 747, 756, 768]",785,True,1000000,15.0,18.0,Standard
MID_0358,Freelancer,Delhi,1.1,bad,6569.54,-0.0878,0.3534,0.4244,0.0915,6.6613,0.0442,0.1424,0.8654,0.4712,135.472,45.184,0.2233,0.5124,0.6761,482,"[409, 398, 419, 438, 444, 482]",527,False,0,,,Ineligible
MID_0359,Clothing,Delhi,3.3,poor,16274.81,0.0271,0.5106,0.2045,0.0336,3.3427,0.1399,0.2074,0.9695,0.2338,679.0252,23.8718,0.4142,0.3098,0.609,621,"[592, 584, 586, 573, 570, 621]",653,True,400000,18.5,12.0,Basic
MID_0360,Auto Parts,Mumbai,7.3,poor,27246.69,0.0077,0.4104,0.2179,0.0265,3.082,0.1671,0.3367,1.1164,0.2896,749.9965,94.0021,0.5357,0.2996,0.7095,622,"[549, 551, 565, 580, 576, 622]",661,True,400000,18.5,12.0,Basic
MID_0361,Travel,Hyderabad,1.5,excellent,650550.52,0.2402,0.8611,0.0175,0.0048,1.3375,0.5487,0.8539,1.5532,0.0464,4086.1904,1658.4671,0.929,0.015,0.1853,827,"[800, 802, 806, 830, 834, 827]",850,True,2000000,12.5,24.0,Premium
