monthly_revenue,revenue_growth_rate,revenue_consistency,refund_rate,chargeback_rate,settlement_velocity_days,customer_repeat_rate,payment_diversity_score,peak_season_ratio,failed_payment_rate,avg_transaction_value,transaction_volume_monthly,dispute_resolution_rate,late_settlement_frequency,revenue_concentration_risk,years_active,credit_score,credit_tier
48573.46,-0.0775,0.5399,0.2096,0.0373,5.723,0.1514,0.2661,1.0827,0.2607,154.9342,20.8719,0.5273,0.2626,0.6798,6.0,622,poor
69753.09,0.0498,0.5806,0.1139,0.025,3.9421,0.308,0.5066,1.027,0.1432,1222.2788,78.4832,0.6071,0.1571,0.4991,2.9,684,average
61939.98,0.0066,0.636,0.1148,0.0186,2.2251,0.2503,0.4604,1.0571,0.1345,1052.0328,240.1171,0.5788,0.142,0.5143,8.0,701,average
46744.22,-0.0982,0.5096,0.1345,0.0335,3.0682,0.1051,0.3184,0.951,0.2533,281.0606,65.7178,0.5179,0.2254,0.6537,7.5,631,poor
140899.23,0.016,0.5716,0.0834,0.0233,2.773,0.3466,0.4919,1.2129,0.1904,830.0608,195.2477,0.565,0.1239,0.5434,5.5,699,average
13772.19,-0.0633,0.3064,0.4197,0.0934,8.8892,0.0224,0.1743,0.7841,0.3134,364.0114,34.5619,0.1702,0.4647,0.8902,2.3,477,bad
57225.76,-0.0062,0.6877,0.1319,0.0236,2.8601,0.3345,0.5494,1.1969,0.1565,405.4623,57.6317,0.6406,0.1863,0.3868,4.9,696,average
323539.76,0.0996,0.7627,0.0584,0.0073,1.4644,0.4375,0.6219,1.4441,0.0834,1755.8115,523.2982,0.8282,0.0699,0.3704,1.3,764,good
26152.69,-0.0506,0.2725,0.2812,0.0675,5.4807,0.0524,0.0871,0.9206,0.3637,159.5141,32.5177,0.3208,0.5281,0.7813,1.0,529,bad
37517.17,0.0091,0.6296,0.0844,0.0224,2.9227,0.2518,0.5149,1.0164,0.1517,384.9115,255.7723,0.6268,0.1867,0.3726,4.4,714,average
272402.83,0.1125,0.7462,0.0667,0.0059,2.4125,0.4268,0.5671,1.4536,0.1009,2937.9786,528.4508,0.7288,0.084,0.2088,1.2,761,good
283988.55,0.1745,0.8829,0.0238,0.007,1.5435,0.4514,0.9207,1.4665,0.0436,2797.9904,938.2725,0.8603,0.034,0.1367,1.4,825,excellent
50792.24,0.0472,0.6722,0.1153,0.0189,3.5746,0.2102,0.4802,1.1737,0.1931,321.0642,117.8166,0.6127,0.1455,0.3635,0.9,701,average
148284.66,0.0284,0.6877,0.1347,0.0248,2.5744,0.2835,0.4496,1.1576,0.1995,660.0093,73.7254,0.6456,0.1624,0.4764,6.0,688,average
64777.04,0.036,0.6775,0.0609,0.013,2.5633,0.3143,0.4477,1.152,0.1324,207.9706,218.3173,0.608,0.1869,0.4732,8.0,705,average
124413.56,0.0728,0.5612,0.1017,0.0185,3.3564,0.2744,0.3841,1.1732,0.1332,1391.0424,246.9035,0.5613,0.1179,0.5181,7.2,687,average
718177.43,0.1243,0.9578,0.0191,0.0047,1.175,0.5436,0.7093,1.4415,0.0237,2925.1777,1638.2455,0.9676,0.0162,0.151,2.5,841,excellent
33432.22,-0.0995,0.5644,0.2093,0.0378,3.2612,0.136,0.2102,1.0301,0.2723,318.7366,75.6438,0.4218,0.3606,0.5706,3.9,605,poor
64573.89,0.0743,0.7108,0.1059,0.0126,2.6228,0.3317,0.4989,1.0152,0.1029,1374.2801,53.1186,0.6152,0.1103,0.4284,4.6,739,average
710292.88,0.1897,0.8626,0.0193,0.0055,1.7665,0.5676,0.9369,1.4006,0.0558,1883.8216,854.2088,0.8738,0.0467,0.1495,4.8,823,excellent
13708.88,-0.0277,0.3663,0.1593,0.0338,4.7716,0.1086,0.2536,0.9398,0.2475,146.242,36.865,0.5096,0.2776,0.7156,3.5,602,poor
68688.02,0.0206,0.6697,0.1148,0.0189,3.6397,0.2357,0.5219,1.0184,0.1218,380.5918,190.9997,0.6783,0.1972,0.5014,1.2,700,average
24505.96,-0.116,0.3029,0.3276,0.0909,9.115,0.025,0.2332,0.9904,0.2802,246.0106,49.0413,0.1752,0.4347,0.6578,5.9,492,bad
394440.68,0.1071,0.7415,0.0336,0.0052,2.4427,0.3973,0.6373,1.5951,0.0559,2105.6072,391.0988,0.7821,0.1031,0.3209,6.8,761,good
15524.78,-0.2423,0.1595,0.3208,0.0621,7.4816,0.0969,0.0936,0.9191,0.3958,350.7727,38.7762,0.2143,0.5051,0.7808,2.5,475,bad
93079.46,0.0534,0.6342,0.1368,0.022,2.5784,0.186,0.583,1.2248,0.1727,932.8182,55.9686,0.6304,0.1203,0.3603,4.0,713,average
263328.18,0.1684,0.8696,0.0234,0.0067,1.2613,0.6252,0.8212,1.8596,0.0545,2239.9616,351.9226,0.8689,0.0474,0.1231,0.6,842,excellent
93504.34,0.0276,0.7397,0.1338,0.0135,3.367,0.2463,0.4378,1.1591,0.1435,575.4299,247.3004,0.6149,0.1379,0.4561,0.9,695,average
45324.76,-0.0045,0.4854,0.1453,0.0301,5.0708,0.1016,0.3205,1.0682,0.2964,108.373,25.2584,0.3739,0.2803,0.5483,3.4,609,poor
130524.54,0.0366,0.7434,0.1317,0.0204,2.5067,0.2594,0.586,1.1916,0.1923,559.2986,151.0157,0.7036,0.1924,0.4147,1.5,704,average
253905.41,0.0387,0.843,0.0409,0.0114,2.8252,0.4431,0.5707,1.1365,0.09,1126.4909,412.1174,0.8614,0.0519,0.3281,5.1,774,good
803043.34,0.2136,0.9127,0.027,0.0075,1.3589,0.6205,0.8002,1.7426,0.0584,1180.8013,1162.3273,0.9749,0.0132,0.1689,4.6,842,excellent
54600.58,-0.0164,0.5551,0.1397,0.0136,2.7775,0.3148,0.5215,1.1499,0.1965,1255.3115,291.3093,0.5528,0.1407,0.4175,7.1,691,average
574727.7,0.1442,0.9693,0.0114,0.0059,1.1305,0.4931,0.7125,1.5151,0.0517,2715.9753,507.2409,0.9268,0.0427,0.1159,0.8,834,excellent
44040.05,-0.0229,0.4272,0.1357,0.0242,4.2455,0.1636,0.3217,1.0097,0.3096,128.4892,25.4966,0.5449,0.3102,0.6711,6.8,628,poor
86769.05,0.0212,0.7376,0.1088,0.0106,2.36,0.265,0.5891,1.1882,0.1783,652.2096,41.1882,0.5901,0.1141,0.456,2.0,717,average
359362.55,0.027,0.7783,0.0405,0.0075,2.2336,0.478,0.6406,1.1522,0.0537,1843.4016,210.6319,0.7052,0.0812,0.2142,4.2,768,good
140000.6,0.0812,0.7975,0.0745,0.0064,2.8558,0.391,0.6275,1.1682,0.1004,2080.0528,782.8891,0.7364,0.0502,0.3384,7.0,752,good
651044.71,0.1478,0.9794,0.0277,0.0069,1.2792,0.6325,0.884,1.4727,0.0331,3233.7615,1805.2807,0.9269,0.016,0.1861,6.9,855,excellent
33376.17,0.0532,0.74,0.0706,0.0144,3.2953,0.1954,0.4856,1.0915,0.1703,1315.2987,234.2945,0.5542,0.1546,0.5044,2.3,703,average
43352.16,-0.0204,0.4823,0.1469,0.0405,4.8614,0.1203,0.4051,1.0287,0.3074,354.7934,20.4141,0.4381,0.2838,0.509,2.7,623,poor
36800.39,-0.045,0.3625,0.1685,0.0336,4.5044,0.1795,0.3034,1.033,0.2956,729.6158,62.4577,0.4347,0.3212,0.6525,2.9,617,poor
138124.07,0.0321,0.6755,0.0835,0.0245,3.0829,0.2024,0.4563,1.1332,0.1645,578.9718,56.3669,0.6982,0.1279,0.5395,5.7,696,average
348233.89,0.0495,0.7795,0.0444,0.0135,1.2967,0.3569,0.7412,1.4093,0.0613,1838.2917,227.5964,0.7316,0.0966,0.3809,7.2,754,good
53029.1,0.0102,0.7341,0.0924,0.0175,2.2908,0.2579,0.4504,1.0013,0.1738,1468.2813,126.133,0.6699,0.1569,0.408,3.3,728,average
542075.1,0.0941,0.8965,0.0198,0.0053,1.1951,0.5816,0.8953,1.837,0.0278,1151.0761,1729.0125,0.938,0.0483,0.2464,1.4,826,excellent
374442.0,0.1337,0.734,0.0664,0.0094,2.9852,0.4607,0.6077,1.5028,0.1179,1559.5805,727.5002,0.7251,0.087,0.2172,2.6,763,good
49800.77,-0.0822,0.3928,0.1696,0.0366,3.1267,0.1791,0.3836,0.976,0.2583,424.4163,17.8182,0.3506,0.2473,0.7103,4.7,610,poor
217033.12,0.0767,0.7613,0.0643,0.0147,2.6366,0.3746,0.6966,1.1088,0.0682,1954.1362,202.296,0.783,0.0955,0.2715,5.0,758,good
173355.06,0.0611,0.8552,0.07,0.0077,2.3959,0.3725,0.6569,1.2758,0.0601,842.3736,296.9924,0.8402,0.073,0.3842,5.0,764,good
4826.49,-0.2198,0.1543,0.2871,0.0815,4.8341,0.0554,0.2479,0.8569,0.4934,110.2725,18.7108,0.3212,0.3856,0.6822,3.6,502,bad
702312.42,0.1527,0.8577,0.0136,0.0028,1.0662,0.6169,0.8886,1.8477,0.0568,1662.685,1822.1148,0.874,0.0241,0.1136,0.8,846,excellent
124822.44,0.0764,0.5844,0.1203,0.0101,3.4507,0.3371,0.5825,1.2554,0.1475,1107.5728,88.1327,0.6645,0.1129,0.5169,6.2,714,average
344634.49,0.0731,0.8869,0.028,0.0032,1.9762,0.561,0.8385,1.5034,0.0542,1592.8969,325.2965,0.9593,0.029,0.2019,4.7,834,excellent
9638.87,-0.1132,0.3977,0.2307,0.0903,8.3512,0.0423,0.2013,0.8746,0.3401,326.3225,33.9724,0.2421,0.4927,0.8008,1.0,500,bad
34854.32,-0.0021,0.6709,0.0862,0.0145,3.2465,0.3092,0.5254,1.156,0.1492,805.8284,116.3264,0.6346,0.1606,0.4585,6.7,711,average
130927.73,0.0103,0.6912,0.0993,0.012,3.4314,0.2629,0.4041,1.2025,0.166,1090.9864,188.7747,0.6309,0.2025,0.4513,0.7,702,average
25584.32,-0.0873,0.4294,0.1665,0.0305,4.9837,0.1097,0.3426,1.0481,0.3075,145.8502,47.0158,0.4276,0.2035,0.5717,0.7,622,poor
109242.35,0.0006,0.6493,0.1249,0.02,2.3333,0.2309,0.5933,1.0605,0.1635,1466.3394,59.5835,0.6946,0.1257,0.403,1.2,712,average
39956.47,-0.0608,0.5349,0.1763,0.0362,3.6002,0.1283,0.3375,1.0133,0.2869,226.4206,16.9533,0.5118,0.3553,0.6269,2.1,636,poor
235591.95,0.1871,0.889,0.0231,0.0032,1.8302,0.4661,0.7509,1.5887,0.0529,3513.3791,661.6039,0.9282,0.0262,0.117,3.2,814,excellent
270156.88,0.1038,0.7268,0.0661,0.0128,1.1107,0.4793,0.6128,1.249,0.0545,2887.7212,727.7413,0.8209,0.1109,0.2794,6.4,784,good
116740.39,0.1249,0.7727,0.0592,0.0089,2.4967,0.3472,0.6346,1.1721,0.0623,2924.8087,407.6328,0.7458,0.0872,0.2981,7.1,779,good
15649.41,-0.0565,0.3156,0.4352,0.0814,8.7328,0.0392,0.174,0.7928,0.4909,176.9993,41.5513,0.1781,0.6101,0.8644,0.7,482,bad
46735.85,-0.0472,0.3578,0.2326,0.0447,5.8215,0.1365,0.2909,1.1103,0.2804,713.7329,101.1253,0.5396,0.3257,0.6114,5.2,594,poor
256968.84,0.0344,0.7599,0.0657,0.0127,2.2984,0.326,0.6688,1.3052,0.1158,1628.7247,711.4541,0.724,0.0539,0.3186,2.0,744,good
137793.16,0.0774,0.5897,0.1161,0.0125,2.8021,0.2529,0.4372,1.0267,0.1368,1431.4166,70.5111,0.6722,0.1522,0.534,5.4,710,average
8771.01,-0.0942,0.2546,0.3021,0.0488,5.7412,0.0409,0.185,0.9722,0.3613,289.4935,25.6174,0.1524,0.39,0.7308,5.0,533,bad
25711.81,-0.1124,0.3371,0.2114,0.0552,7.7179,0.0442,0.1471,0.8113,0.493,245.8461,31.1219,0.2099,0.5011,0.8826,8.0,499,bad
345032.83,0.0997,0.8419,0.0432,0.0081,2.7853,0.3631,0.7489,1.4818,0.0606,2632.5842,560.1936,0.8437,0.0443,0.2297,7.4,771,good
49484.03,-0.0839,0.3715,0.2329,0.0254,3.5049,0.141,0.26,1.1227,0.262,508.4832,117.0209,0.471,0.3027,0.5916,4.2,619,poor
640132.3,0.1819,0.909,0.0387,0.0052,1.0058,0.6924,0.864,1.9656,0.033,3872.4899,1521.7752,0.9745,0.0328,0.1317,1.7,850,excellent
349752.74,0.057,0.8404,0.0627,0.0062,1.9817,0.3865,0.7113,1.2551,0.0979,828.2167,565.8642,0.8498,0.081,0.2979,6.9,778,good
108894.43,0.0514,0.7361,0.1022,0.0197,2.1679,0.2596,0.3974,1.2405,0.13,1479.4421,217.9216,0.6011,0.1298,0.4355,7.8,714,average
41486.49,0.0462,0.5859,0.0746,0.0159,2.1666,0.329,0.4455,1.1762,0.1455,1071.3378,202.1907,0.5951,0.216,0.5243,1.1,694,average
103492.32,0.0544,0.6952,0.0842,0.0222,3.2335,0.2974,0.5919,1.2025,0.1805,313.9257,75.1296,0.5824,0.1979,0.4892,4.0,693,average
736063.59,0.1978,0.9079,0.0246,0.0011,1.4495,0.5107,0.7737,1.8806,0.0357,2202.1702,384.7943,0.9602,0.0273,0.1624,3.7,835,excellent
72346.29,-0.0136,0.7286,0.0934,0.0171,2.9896,0.3396,0.4563,1.2093,0.1021,574.414,89.9723,0.6085,0.1279,0.3939,4.5,711,average
39413.2,-0.0633,0.5223,0.2067,0.0239,3.5985,0.1527,0.2222,1.004,0.3191,312.5563,36.9905,0.3608,0.2033,0.6938,6.5,608,poor
48849.73,0.0001,0.4781,0.2365,0.0456,5.6211,0.1525,0.2229,0.9126,0.3125,659.2908,116.0779,0.5238,0.3754,0.672,8.0,607,poor
132630.67,-0.0046,0.6227,0.1255,0.0118,2.4038,0.3448,0.5492,1.002,0.1835,815.7623,114.5572,0.5791,0.1319,0.493,6.2,711,average
91409.27,0.0389,0.7216,0.0703,0.0144,1.1696,0.363,0.7464,1.1822,0.0543,2397.981,562.1233,0.8155,0.1122,0.2116,6.5,773,good
242302.38,0.1397,0.832,0.0523,0.0071,2.0889,0.4577,0.6804,1.4487,0.1121,2453.9077,383.154,0.7355,0.0641,0.2074,0.6,791,good
59470.17,0.0632,0.6108,0.0938,0.0176,3.464,0.3231,0.4371,1.1522,0.1124,1183.5279,284.7492,0.6263,0.1687,0.351,7.2,700,average
35169.79,-0.0678,0.4254,0.1957,0.0447,4.0838,0.0918,0.3566,1.1071,0.1915,143.5356,108.2935,0.4595,0.2803,0.5812,5.5,611,poor
235301.73,0.1922,0.8668,0.0311,0.007,1.1181,0.5032,0.8183,1.8225,0.0578,2351.1947,1913.2792,0.9282,0.0263,0.1181,6.7,811,excellent
339981.7,0.0835,0.7396,0.0474,0.0137,1.8352,0.4146,0.6632,1.5501,0.1047,1688.0689,604.0234,0.809,0.101,0.301,7.2,764,good
83461.03,0.0077,0.5677,0.0732,0.0104,3.2602,0.3112,0.4479,1.1935,0.1644,310.6976,288.3438,0.6421,0.1909,0.5415,0.8,706,average
34872.88,0.0662,0.5547,0.095,0.0162,3.7193,0.234,0.4366,1.0344,0.1099,418.6028,77.4489,0.5934,0.1108,0.4114,5.1,687,average
10790.22,-0.0688,0.4873,0.1507,0.0353,4.5133,0.1939,0.2592,0.9796,0.2574,145.8207,18.0352,0.4957,0.3645,0.5041,7.6,623,poor
19603.29,-0.1264,0.2559,0.4279,0.0671,4.006,0.0572,0.221,0.7868,0.4939,50.19,47.0078,0.2609,0.5294,0.8599,3.3,498,bad
58293.58,0.0142,0.3985,0.1856,0.0441,5.6518,0.1934,0.3397,1.1449,0.2791,291.1092,84.5391,0.424,0.2379,0.711,6.7,616,poor
44667.41,-0.0899,0.3571,0.2282,0.0401,5.0167,0.1224,0.3788,1.1069,0.2301,224.0306,95.6364,0.5103,0.2015,0.6018,4.5,602,poor
74326.57,0.0081,0.7309,0.1166,0.0131,2.3922,0.3196,0.4671,1.261,0.1569,842.2147,183.4641,0.6622,0.1679,0.4865,2.3,703,average
97846.72,0.0053,0.662,0.0963,0.0241,3.2819,0.3403,0.3914,1.2816,0.1433,1493.6384,111.2493,0.6656,0.156,0.4223,7.9,712,average
36157.29,0.005,0.5829,0.0849,0.0194,2.1935,0.2616,0.5578,1.1778,0.1626,634.5933,105.1065,0.5683,0.1286,0.4182,7.8,696,average
46081.26,0.0017,0.3643,0.2243,0.0216,4.8322,0.1318,0.2224,0.9139,0.1873,694.9505,57.1767,0.492,0.274,0.6902,3.3,620,poor
111702.25,0.0974,0.7308,0.0695,0.0069,2.1464,0.4275,0.6013,1.3105,0.1007,1611.5608,270.2067,0.8435,0.0448,0.2623,3.0,785,good
37340.78,0.0307,0.717,0.1287,0.0163,2.3908,0.2141,0.5799,1.2356,0.1342,1068.2182,220.6432,0.7169,0.172,0.4162,4.9,733,average
59246.53,0.0281,0.7037,0.1252,0.0221,2.7518,0.2481,0.5617,1.002,0.101,665.2527,184.2198,0.5742,0.1528,0.4763,5.7,702,average
58704.97,-0.0973,0.5058,0.1693,0.0436,3.3329,0.1923,0.2671,0.96,0.2933,562.6361,113.822,0.5747,0.3796,0.694,0.7,601,poor
130159.73,0.0094,0.5797,0.0798,0.0194,2.5601,0.2015,0.4918,1.1752,0.1489,1145.4881,244.013,0.6845,0.1738,0.3835,6.2,711,average
125250.98,0.045,0.5914,0.1316,0.0168,2.4688,0.2172,0.4735,1.1131,0.1157,1295.1611,106.1776,0.5644,0.1902,0.409,4.9,689,average
300979.73,0.0667,0.7332,0.0721,0.0101,2.2873,0.4572,0.7353,1.1492,0.055,595.7035,240.2146,0.7354,0.0663,0.2605,1.8,775,good
396993.85,0.143,0.8515,0.0679,0.0051,2.3082,0.4979,0.7403,1.5327,0.0659,2308.3397,246.9125,0.7421,0.087,0.3105,2.6,800,good
25713.94,-0.0041,0.465,0.2057,0.0306,3.6765,0.1311,0.3656,1.0907,0.2767,309.746,76.6303,0.4805,0.2058,0.5306,1.5,647,poor
484394.33,0.1403,0.9663,0.0128,0.0017,1.5529,0.458,0.8723,1.642,0.0275,1091.8623,1933.3902,0.8869,0.0193,0.1989,1.9,816,excellent
6862.25,-0.0498,0.2274,0.4045,0.0799,4.9527,0.066,0.1328,0.7609,0.4377,210.6348,14.0766,0.3779,0.4837,0.8561,3.4,495,bad
53583.58,-0.046,0.3913,0.2003,0.033,4.154,0.1591,0.3537,0.9239,0.2778,130.5651,107.9819,0.3863,0.3589,0.6183,3.4,594,poor
145454.15,0.0258,0.7243,0.0619,0.0118,1.9238,0.3687,0.6299,1.1972,0.0526,1126.5143,596.3697,0.7246,0.0936,0.2928,3.6,741,good
15694.45,-0.0127,0.3526,0.1555,0.0332,3.5338,0.1657,0.3964,1.0331,0.2419,133.4292,81.653,0.4703,0.3193,0.6452,1.4,628,poor
9818.76,-0.2058,0.3172,0.2551,0.0929,8.7815,0.0864,0.1085,0.7501,0.3714,87.6893,19.7214,0.2793,0.4069,0.7018,3.7,498,bad
274664.96,0.0257,0.8617,0.0506,0.0127,1.9992,0.4981,0.6925,1.4956,0.1146,1923.0127,276.3581,0.7171,0.0659,0.3262,5.4,784,good
71655.32,0.0441,0.5965,0.107,0.0248,2.4652,0.2848,0.5773,1.0927,0.1738,1184.4195,201.1392,0.5602,0.1449,0.4093,5.1,691,average
92764.85,0.1301,0.773,0.0421,0.0104,2.8133,0.433,0.5997,1.4437,0.1004,2020.158,367.0401,0.7579,0.0754,0.2012,5.4,757,good
24216.56,-0.0062,0.4063,0.1429,0.0275,3.8561,0.1338,0.3398,0.968,0.2894,156.0112,117.1183,0.4416,0.2302,0.5971,1.1,634,poor
22885.24,-0.0397,0.4543,0.1688,0.0382,3.2158,0.0964,0.3032,0.9387,0.2065,108.984,67.5735,0.5168,0.2885,0.7037,1.6,634,poor
53408.69,0.0003,0.5229,0.1653,0.0413,4.9049,0.1242,0.2127,0.9963,0.2394,272.7543,65.1612,0.5619,0.2651,0.6554,1.7,625,poor
148458.88,0.0198,0.6672,0.1321,0.0178,2.3776,0.2519,0.5625,1.0759,0.1302,1457.9885,211.2064,0.6151,0.137,0.4323,6.3,717,average
225994.3,0.0326,0.8438,0.0509,0.0092,1.5767,0.3862,0.5853,1.1932,0.0594,1716.1781,451.8296,0.7198,0.0854,0.2425,0.5,776,good
205948.04,0.0559,0.8805,0.0246,0.0063,1.0095,0.5165,0.9388,1.7657,0.0516,975.8092,579.923,0.9529,0.025,0.178,1.1,815,excellent
391114.74,0.1161,0.863,0.0237,0.0059,1.7252,0.672,0.7347,1.7213,0.0548,1973.7636,1458.6763,0.956,0.0247,0.1928,3.3,822,excellent
245764.73,0.1161,0.847,0.0474,0.0144,2.883,0.3952,0.6817,1.4497,0.057,1462.1464,525.0217,0.8281,0.1096,0.3752,5.6,779,good
139115.8,0.1179,0.8256,0.0345,0.0093,2.4315,0.332,0.7358,1.5513,0.1036,1050.9401,280.34,0.7857,0.1118,0.2246,5.5,777,good
56481.7,-0.0432,0.4037,0.1537,0.0287,3.3341,0.1208,0.3303,0.947,0.3119,500.9873,28.3788,0.4221,0.2684,0.6621,5.4,619,poor
25787.03,0.0061,0.4183,0.1485,0.0404,3.4423,0.114,0.3644,1.1123,0.2959,124.0407,48.6146,0.4655,0.3239,0.5602,0.6,621,poor
687796.21,0.0858,0.9134,0.0218,0.0079,1.6593,0.6621,0.9478,1.6836,0.0335,3647.1745,1982.5657,0.9485,0.0256,0.1792,5.8,839,excellent
81653.75,0.0697,0.592,0.1243,0.0129,3.3025,0.2416,0.5684,1.0306,0.1785,1315.96,137.9045,0.7171,0.1815,0.3836,4.8,706,average
166165.6,0.0975,0.7476,0.0673,0.0128,2.9823,0.4341,0.5679,1.3318,0.1073,1455.2523,542.6335,0.7801,0.0409,0.2233,1.4,765,good
24714.45,-0.0837,0.4248,0.2128,0.0459,4.6125,0.1286,0.3542,0.9984,0.2944,648.4322,70.6592,0.3647,0.3507,0.6186,8.0,594,poor
296902.19,0.0822,0.9231,0.0355,0.0012,1.9799,0.5765,0.7909,1.6811,0.0369,4769.9596,200.154,0.8891,0.0478,0.1779,1.4,824,excellent
186249.89,0.0783,0.9613,0.0165,0.0019,1.5521,0.5979,0.7693,1.8104,0.0369,3109.3642,669.214,0.9345,0.0165,0.1684,5.5,835,excellent
46294.46,0.0792,0.6367,0.0621,0.0191,2.155,0.2012,0.4042,1.1645,0.1066,1032.2307,134.3331,0.6067,0.1328,0.5238,5.0,690,average
252948.38,0.0567,0.7634,0.035,0.0055,1.636,0.4504,0.5861,1.503,0.0974,2471.8685,486.1702,0.8588,0.0722,0.3185,1.2,780,good
86764.58,0.0239,0.6208,0.0975,0.0143,3.9052,0.2685,0.5381,1.2771,0.1229,1026.3258,62.605,0.602,0.1925,0.519,5.6,687,average
511396.21,0.187,0.938,0.026,0.0019,1.0139,0.4975,0.9078,1.3051,0.037,3044.1643,821.1091,0.9792,0.0364,0.2381,7.5,852,excellent
137774.91,0.0223,0.6258,0.0899,0.0117,3.8281,0.2225,0.4986,1.2299,0.1118,588.9314,116.3217,0.5862,0.1886,0.4638,6.8,694,average
111994.02,0.0655,0.8356,0.0501,0.0051,1.8616,0.3395,0.6558,1.5493,0.0788,2782.7728,104.8373,0.8385,0.06,0.2941,4.0,773,good
14307.2,-0.063,0.3807,0.1747,0.0299,3.0948,0.1599,0.4086,1.1399,0.3176,183.1546,66.3521,0.464,0.3227,0.528,7.1,630,poor
21903.47,-0.0118,0.4287,0.2469,0.0421,4.303,0.1147,0.3069,1.0902,0.2147,206.747,68.6802,0.4074,0.338,0.6901,4.3,593,poor
764453.13,0.2358,0.9054,0.0285,0.0016,1.051,0.5518,0.7766,1.7433,0.0293,2211.947,1062.5514,0.9163,0.0358,0.1456,1.5,831,excellent
78779.76,0.0052,0.6483,0.0867,0.0117,3.3379,0.2961,0.5495,1.0391,0.1361,1253.0458,233.1623,0.6501,0.1726,0.3977,2.6,716,average
501111.45,0.1186,0.9443,0.0397,0.0024,1.7208,0.461,0.7479,1.6853,0.0301,4483.7164,1736.1889,0.9679,0.049,0.2342,7.4,825,excellent
793634.84,0.088,0.9559,0.0249,0.0047,1.5135,0.4687,0.8094,1.6565,0.0425,2439.037,1292.9931,0.8769,0.0101,0.1858,7.7,803,excellent
284513.92,0.0578,0.8693,0.0365,0.0075,1.2704,0.6477,0.8606,1.4743,0.0529,3045.2987,202.5199,0.8952,0.0342,0.1554,1.8,826,excellent
15066.98,-0.0249,0.3445,0.3951,0.0464,8.4746,0.0506,0.1912,0.961,0.4195,242.8072,41.7581,0.2007,0.4306,0.7954,1.8,529,bad
123329.72,0.0448,0.5542,0.073,0.0127,2.7884,0.2833,0.3953,1.0216,0.1245,1381.8704,292.3002,0.567,0.1632,0.4954,1.9,701,average
120433.91,-0.0191,0.7083,0.1034,0.0223,3.7054,0.1944,0.4106,1.2279,0.1892,1260.1044,119.9201,0.6314,0.1293,0.4587,7.5,690,average
614681.67,0.0952,0.9643,0.0215,0.0072,1.8228,0.4781,0.7424,1.3771,0.0241,4814.5661,843.1542,0.93,0.0147,0.2385,3.7,827,excellent
693937.88,0.1823,0.9713,0.0343,0.006,1.0764,0.4505,0.9333,1.4041,0.0462,2145.0752,903.0792,0.9438,0.0414,0.1718,3.1,837,excellent
43509.98,0.0744,0.7343,0.0907,0.0182,3.0775,0.2637,0.498,1.069,0.1084,1129.3974,177.0059,0.682,0.1974,0.3939,5.0,717,average
656597.89,0.2444,0.9687,0.0173,0.0068,1.0559,0.4845,0.9405,1.7928,0.0351,910.6569,1936.8437,0.8983,0.0381,0.1994,2.7,851,excellent
528188.56,0.2398,0.9111,0.0317,0.0041,1.6448,0.4533,0.7278,1.342,0.0457,3337.5291,512.4444,0.8708,0.0259,0.1635,4.0,820,excellent
273659.02,0.1738,0.8785,0.0155,0.0062,1.5593,0.6604,0.9041,1.6279,0.0325,3495.9415,1689.0566,0.8714,0.0421,0.197,7.8,821,excellent
370742.06,0.0512,0.7336,0.0585,0.0054,2.973,0.3968,0.5596,1.1466,0.0716,2951.3541,626.1756,0.8726,0.08,0.2629,1.9,759,good
9982.29,-0.079,0.5069,0.1302,0.0388,5.8585,0.1078,0.2474,1.0704,0.1997,602.9882,119.3087,0.4654,0.3786,0.6339,4.1,613,poor
146736.48,0.0367,0.7489,0.0678,0.0102,3.5326,0.2326,0.5709,1.2392,0.1895,848.5859,158.25,0.5789,0.1355,0.3636,8.0,715,average
159550.12,0.0732,0.8191,0.064,0.0094,2.025,0.4249,0.6127,1.1417,0.0789,1625.2307,714.186,0.8784,0.0434,0.3955,4.2,783,good
215728.76,0.0896,0.8509,0.0355,0.0068,1.2167,0.4919,0.6294,1.3166,0.0781,661.1788,339.6965,0.8088,0.057,0.3483,5.5,787,good
6559.46,-0.2014,0.1557,0.3897,0.0654,5.5124,0.0341,0.1041,0.7822,0.298,355.8216,25.3139,0.2465,0.4142,0.8733,6.4,479,bad
148362.39,0.037,0.7146,0.1049,0.0234,2.3971,0.3029,0.5073,1.0434,0.1664,1270.555,230.9327,0.6903,0.188,0.3528,7.7,729,average
36133.27,0.0546,0.5875,0.1157,0.0216,3.2019,0.2167,0.4261,1.0573,0.168,1441.6358,136.2667,0.6118,0.1362,0.4114,5.3,679,average
274657.18,0.0411,0.7897,0.0443,0.0116,2.3606,0.4268,0.6904,1.569,0.1134,748.0627,161.3341,0.8507,0.0472,0.2033,3.9,762,good
42392.21,0.0656,0.7401,0.088,0.0219,2.9279,0.3344,0.5219,1.2354,0.1396,1421.5019,243.371,0.6363,0.1321,0.4817,6.3,732,average
251774.88,0.0759,0.8089,0.0496,0.0112,1.7866,0.3103,0.7364,1.3146,0.1158,1476.0292,609.6789,0.7726,0.0654,0.2317,2.9,776,good
149784.28,0.204,0.8699,0.0285,0.0048,1.9724,0.5929,0.7063,1.8139,0.0593,3464.7452,1599.6615,0.8743,0.0361,0.1333,1.2,831,excellent
